ts in ms,sensor id,mapped id,number,full name,league id,group id,group name,x in m,y in m,z in m
400,40849,2180,92,Ball,4460903,3,Ball,39.3,9.608,0.081
400,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,12.49,20.434,1.6
400,36434,1640,96,Feynman Forward,4498227,1,Quantum Quicks,0.504,9.916,1.6
400,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,14.174,10.926,1.6
450,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,4.609,13.669,1.6
450,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,20.829,14.75,1.6
450,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,35.786,10.649,1.6
450,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,17.89,5.025,1.6
450,40849,2180,92,Ball,4460903,3,Ball,39.371,9.602,0.194
450,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,12.537,20.432,1.6
450,36434,1640,96,Feynman Forward,4498227,1,Quantum Quicks,0.527,9.888,1.6
450,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,14.162,10.926,1.6
500,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,4.678,13.687,1.6
500,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,20.951,14.576,1.6
500,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,35.838,10.63,1.6
500,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,17.891,4.9,1.6
500,40849,2180,92,Ball,4460903,3,Ball,39.433,9.618,0.253
500,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,12.583,20.43,1.6
500,36434,1640,96,Feynman Forward,4498227,1,Quantum Quicks,0.55,9.86,1.6
500,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,14.149,10.926,1.6
550,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,4.748,13.701,1.6
550,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,21.077,14.399,1.6
550,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,35.89,10.61,1.6
550,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,17.892,4.776,1.6
550,40849,2180,92,Ball,4460903,3,Ball,39.424,9.673,0.154
550,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,12.63,20.428,1.6
550,36434,1640,96,Feynman Forward,4498227,1,Quantum Quicks,0.564,9.825,1.6
550,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,14.13,10.925,1.6
600,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,4.819,13.711,1.6
600,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,21.204,14.222,1.6
600,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,35.949,10.593,1.6
600,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,17.894,4.656,1.6
600,40849,2180,92,Ball,4460903,3,Ball,39.419,9.717,0.033
600,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,12.683,20.418,1.6
600,36434,1640,96,Feynman Forward,4498227,1,Quantum Quicks,0.57,9.783,1.6
600,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,14.103,10.924,1.6
650,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,4.891,13.72,1.6
650,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,21.329,14.045,1.6
650,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,36.022,10.579,1.6
650,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,17.899,4.546,1.6
650,40849,2180,92,Ball,4460903,3,Ball,39.418,9.726,0.022
650,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,12.736,20.408,1.6
650,36434,1640,96,Feynman Forward,4498227,1,Quantum Quicks,0.575,9.742,1.6
650,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,14.076,10.923,1.6
700,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,4.963,13.73,1.6
700,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,21.426,13.875,1.6
700,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,36.095,10.566,1.6
700,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,17.904,4.437,1.6
700,40849,2180,92,Ball,4460903,3,Ball,39.427,9.72,0.03
700,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,12.789,20.397,1.6
700,36434,1640,96,Feynman Forward,4498227,1,Quantum Quicks,0.58,9.701,1.6
700,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,14.049,10.922,1.6
750,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,5.044,13.738,1.6
750,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,21.523,13.705,1.6
750,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,36.169,10.553,1.6
750,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,17.908,4.328,1.6
750,40849,2180,92,Ball,4460903,3,Ball,39.488,9.658,0.028
750,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,12.843,20.387,1.6
750,36434,1640,96,Feynman Forward,4498227,1,Quantum Quicks,0.581,9.692,1.6
750,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,14.022,10.921,1.6
800,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,5.128,13.747,1.6
800,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,21.62,13.535,1.6
800,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,36.231,10.543,1.6
800,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,17.912,4.215,1.6
800,40849,2180,92,Ball,4460903,3,Ball,39.543,9.58,0.026
800,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,12.892,20.361,1.6
800,36434,1640,96,Feynman Forward,4498227,1,Quantum Quicks,0.581,9.692,1.6
800,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,13.994,10.899,1.6
850,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,5.211,13.755,1.6
850,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,21.713,13.368,1.6
850,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,36.286,10.535,1.6
850,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,17.914,4.101,1.6
850,40849,2180,92,Ball,4460903,3,Ball,39.472,9.642,0.015
850,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,12.937,20.323,1.6
850,36434,1640,96,Feynman Forward,4498227,1,Quantum Quicks,0.581,9.692,1.6
850,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,13.965,10.859,1.6
900,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,5.295,13.763,1.6
900,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,21.798,13.209,1.6
900,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,36.34,10.527,1.6
900,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,17.917,3.987,1.6
900,40849,2180,92,Ball,4460903,3,Ball,39.388,9.746,0.0
900,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,12.983,20.286,1.6
900,36434,1640,96,Feynman Forward,4498227,1,Quantum Quicks,0.58,9.692,1.6
900,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,13.936,10.82,1.6
950,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,5.381,13.763,1.6
950,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,21.883,13.05,1.6
950,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,36.394,10.519,1.6
950,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,17.919,3.873,1.6
950,40849,2180,92,Ball,4460903,3,Ball,39.428,9.705,0.029
950,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,13.029,20.248,1.6
950,36434,1640,96,Feynman Forward,4498227,1,Quantum Quicks,0.573,9.692,1.6
950,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,13.907,10.781,1.6
1000,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,5.467,13.763,1.6
1000,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,21.968,12.89,1.6
1000,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,36.452,10.506,1.6
1000,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,17.918,3.76,1.6
1000,40849,2180,92,Ball,4460903,3,Ball,39.477,9.669,0.099
1000,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,13.061,20.203,1.6
1000,36434,1640,96,Feynman Forward,4498227,1,Quantum Quicks,0.566,9.692,1.6
1000,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,13.869,10.744,1.6
1050,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,5.554,13.763,1.6
1050,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,22.053,12.731,1.6
1050,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,36.51,10.494,1.6
1050,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,17.916,3.648,1.6
1050,40849,2180,92,Ball,4460903,3,Ball,39.467,9.696,0.186
1050,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,13.09,20.156,1.6
1050,36434,1640,96,Feynman Forward,4498227,1,Quantum Quicks,0.558,9.692,1.6
1050,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,13.829,10.708,1.6
1100,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,5.629,13.762,1.6
1100,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,22.14,12.575,1.6
1100,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,36.569,10.481,1.6
1100,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,17.914,3.537,1.6
1100,40849,2180,92,Ball,4460903,3,Ball,39.451,9.657,0.229
1100,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,13.119,20.11,1.6
1100,36434,1640,96,Feynman Forward,4498227,1,Quantum Quicks,0.55,9.699,1.6
1100,35906,2874,49,Lovelace Lifter,1072735,1,Quantum Quicks,13.79,10.671,1.6
1150,46573,2186,44,Curie Crosser,2584124,1,Quantum Quicks,5.687,13.76,1.6
1150,28485,3845,1,Kepler Keeper,3646225,2,Cosmic Chargers,22.231,12.425,1.6
1150,16865,1312,19,Franklin Forward,1688828,2,Cosmic Chargers,36.627,10.468,1.6
1150,16438,2454,73,Edison Enforcer,2607408,1,Quantum Quicks,17.911,3.425,1.6
1150,40849,2180,92,Ball,4460903,3,Ball,39.399,9.613,0.201
1150,36677,1373,76,Schrodinger Scorer,4994299,1,Quantum Quicks,13.147,20.065,1.6
1150,36434,1640,96,Feynman Forward,4498227,1,Quantum Quicks,0.54,9.718,1.6
